tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;PENDENTE;01/01/2019;00:41:00;IPSEP;AV RECIFE;;LADO OPOSTO AO Nº 3257;COLISÃO TRASEIRA;ART.181, OBSTRUÇÃO DE ENTRADA E SAÍDA DE GARAGEM DO CONDOMINIO;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;01/01/2019;01:37:00;BOA VIAGEM;RUA PADRE BERNADINO PESSOA;;;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;15/01/2019;14:20:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE A DELEGACIA DE BOA VIAGEM, LADO ESQUERDO DA PISTA;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;01/01/2019;02:53:00;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;100;EM FRENTE A ART LED ILUMINAÇÃO;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;01/01/2019;08:17:00;JAQUEIRA;RUA TITO ROSAS;63;ED. JARDINS DA JAQUEIRA;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO ÔNIBUS E BICICLETA COM VÍTIMA. EQUIPE DEPAROU-SE COM O ACIDENTE.;;;;1;;1;;;;1;
COLISÃO FRONTAL;FINALIZADA;01/01/2019;09:30:00;IBURA;AV DOIS RIOS;1392;IBURA  DE  BAIXO  EM  FRENTE  A IGREJA  PAZ  E VIDA;COLISÃO FRONTAL;COLISÃO VITIMAS SOCORRIDAS  PELO  SAMU;1;1;;;;;;;;2;
CHOQUE OBJETO FIXO;FINALIZADA;01/01/2019;09:54:00;SAN MARTIN;AV GENERAL SAN MARTIN;1622;APÓS AO BATLHÃO DE CAVALARIA DA PMPE;CHOQUE OBJETO FIXO;VEICULO  SE CHOCOU COM UM MURO -D 619237;1;;;;;;;;;4;
CHOQUE VEÍCULO PARADO;FINALIZADA;01/01/2019;13:05:00;BONGI;EST DO BONGI;290;EM FRENTE A OFICINA DA FIORI;CHOQUE VEÍCULO PARADO;COLISÃO SEM VITIMAS/ O VEICULO ESTA EMBAIXO DA CARRETA;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/01/2019;15:50:00;MADALENA;EST DOS REMEDIOS;2360;E/F A PB AUTOMOVEIS MULTIMARCAS;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ATROPELAMENTO;CANCELADA;01/01/2019;16:01:00;CAMPO GRANDE;EST DE BELEM;;E/F A IGREJA UNIVERSAL NO ANTIGO TERMINAL DE CAMPO GRANDE;ATROPELAMENTO;;1;;;;;;;;;1;
CHOQUE VEÍCULO PARADO;FINALIZADA;01/01/2019;17:23:00;NOVA DESCOBERTA;AV VEREADOR OTACILIO AZEVEDO;2480;;CHOQUE VEÍCULO PARADO;COLISÃO SEM VITIMA;1;;1;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;01/01/2019;19:26:00;ENGENHO DO MEIO;RUA ANTONIO CURADO;;;ABALROAMENTO TRANSVERSAL;POLO X JAC;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;01/01/2019;20:30:00;ESTÂNCIA;AV DR JOSE RUFINO;;EM FRENTE AO COLÉGIO VISÃO;COLISÃO FRONTAL;COLISÃO COM VITIMA/ SARGENTO FERIDA;3;;;;;;;;;1;
COLISÃO;CANCELADA;01/01/2019;21:05:00;BOA VIAGEM;RUA DES JOAO PAES;;RUA SAINDO DO TUNEL DO MESMO LADO DO ATACADÃO;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;06:41:00;BOMBA DO HEMETÉRIO;RUA PADRE OLIVEIRA;786;EM FRENTE AO VIA MODA;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;07:26:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;LADO OPOSTO A ANAC, SENTIDO PRAZERES;COLISÃO TRASEIRA;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;02/01/2019;07:38:00;MACAXEIRA;RUA CARLOS MARIGHELLA;567;AO LADO DO SALÃO VITÓRIA;COLISÃO FRONTAL;SEM VÍTIMAS;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;07:39:00;IMBIRIBEIRA;RUA ALAMEDA DAS HORTENCIAS;279;RESIDENCIAL BOA VIAGEM;ABALROAMENTO LONGITUDINAL;AUTO E ONIBUS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;08:07:00;SOLEDADE;RUA DA SOLEDADE;;IGREJA DA SOLEDADE;ABALROAMENTO LONGITUDINAL;COM VÍTIMA;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;08:16:00;GRAÇAS;AV RUI BARBOSA;;AO LADO DO TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO;COLISÃO TRASEIRA;COLISÃO  SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;08:27:00;AREIAS;AV DR JOSE RUFINO;749;LADO OPOSTO AO ARMAZÉM CORAL.;ABALROAMENTO LONGITUDINAL;MOTO E AUTO;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;08:42:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;1140;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;09:11:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;6333;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;09:16:00;MADALENA;RUA JOSE OSORIO;;LADO OPOSTO AO ED SAINT PAUL;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;02/01/2019;09:22:00;BOA VIAGEM;RUA JOSE DA SILVA LUCENA;18;E/F AO COLÉGIO GGE,;COLISÃO;;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;09:31:00;NOVA DESCOBERTA;RUA SANTA TEREZA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;CANCELADA;02/01/2019;11:10:00;SANTO AMARO;AV VISCONDE DE SUASSUNA;64;PROX. AO CENTRO CULTURAL ROSSINI ALVES;COLISÃO;ONIBUS E AUTO;1;;;;;1;;;;0;
COLISÃO;CANCELADA;02/01/2019;11:17:00;SÃO JOSÉ;RUA IMPERIAL;2077;EM FRENTE A ANTIGA SECRETARIA DA FAZENDA, E POSTO DE GASOLINA BR DESATIVADO;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/01/2019;11:31:00;SAN MARTIN;RUA COMENDADOR FRANCO FERREIRA;;EM ESQUINA AO Nº 7;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;11:47:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS    GM  MOACIR   QTH;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;11:50:00;AFOGADOS;RUA COSME VIANA;526;CEMAUTO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;;;;;;1;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/01/2019;12:14:00;SANTO ANTÔNIO;AV DANTAS BARRETO;661;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;13:09:00;AREIAS;AV RECIFE;712;EM FRENTE A CLÍNICA OK DOUTOR;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE CARRETA E AUTO S/V;1;;;;;;2;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;13:43:00;IPUTINGA;RUA MAURICIO DE NASSAU;;;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/01/2019;14:41:00;MADALENA;AV VISCONDE DE ALBUQUERQUE;439;;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/01/2019;14:44:00;SAN MARTIN;AV GENERAL SAN MARTIN;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;15:08:00;PAISSANDU;RUA SPORT CLUBE DO RECIFE;98;EM FRENTE AO ESTADIO ADELMAR COSTA CARVALHO;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;15:10:00;TAMARINEIRA;AV NORTE;;EM FRENTE AO SEMÁFORO 643;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;02/01/2019;15:32:00;BONGI;EST DO BONGI;919;PROXIMO A DELEGACIA DO BONGI;COLISÃO COM CICLISTA;COM VÍTIMA;;;;1;;;1;;;;1
CHOQUE VEÍCULO PARADO;FINALIZADA;02/01/2019;15:36:00;BEBERIBE;RUA PROFESSORA LOURDES DUTRA;2269;E/F AO SUPERMERCADO SOBERANO;CHOQUE VEÍCULO PARADO;COLISAO ENTRE AUTO E CAMINHAO S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;15:40:00;TORREÃO;RUA VICENTE PIZZON;;EM FRENTE A PLACA COM O NOME DA RUA;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/01/2019;16:03:00;BOA VIAGEM;RUA TENENTE DOMINGOS DE BRITO;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;3;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;02/01/2019;17:05:00;TAMARINEIRA;AV PROFESSOR JOSE DOS ANJOS;1651;EM FRENTE AO RESIDENCIAL NORTE;CHOQUE OBJETO FIXO;ÁRVORE;;;;;;;1;;;2;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;18:20:00;TAMARINEIRA;RUA CONEGO BARATA;;LADO OPOSTO CASAS JOSÉ ARAUJO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;18:56:00;BOA VIAGEM;RUA PROFESSOR JOAO MEDEIROS;;SEMÁFORO DE Nº 335;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/01/2019;20:47:00;AREIAS;AV CAPITAO GREGORIO DE CALDAS;;WALMART SAÍDA SO SUPERMERCADO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/01/2019;23:21:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE AO Nº 3309;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/01/2019;06:11:00;SAN MARTIN;RUA VINTE E UM DE ABRIL;175;NA ESQUINA DA BRASIL GAS,;ABALROAMENTO TRANSVERSAL;COM UMA VITMA AGUARDANDO SAMU;1;1;;;;;;;;2;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/01/2019;07:17:00;SAN MARTIN;AV GENERAL SAN MARTIN;1449;E/F AO COLÉGIO DOM BOSCO. EM FRENTE A FACULDADE ESTÁCIO.;ABALROAMENTO TRANSVERSAL;COM DUAS VÍTIMAS;1;1;;;;;;;;2;
COLISÃO FRONTAL;FINALIZADA;03/01/2019;07:20:00;BOA VISTA;RUA DO HOSPICIO;;EM FRENTE A CASA JOSÉ MARIANO.;COLISÃO FRONTAL;COM UMA VITIMA AGUARDANDO SAMU;1;1;;;;;;;;1;
COLISÃO;CANCELADA;03/01/2019;07:41:00;BOA VIAGEM;RUA DOS NAVEGANTES;401;AO LADO DO EDF. CASTELINHO;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;03/01/2019;07:54:00;MACAXEIRA;AV NORTE;82;PROXIMO A ENTRADA DO CÓRREGO DO GENIPAPO;CHOQUE OBJETO FIXO;VEICULO CAIU NO BARRANCO;1;;;;;;;;;1;
COLISÃO;CANCELADA;03/01/2019;08:11:00;AFOGADOS;RUA IMPERIAL;;EM FRENTE A JUCEPE;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/01/2019;08:28:00;CASA AMARELA;AV NORTE;4953;E/F A IGREJA BATISTA DO ARRAIAL;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/01/2019;08:49:00;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;245;EM  FRENTE  AO CONDOMINIO  VITA;COLISÃO;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/01/2019;08:51:00;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;1114;EM FRENTE A EMBRATEL;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/01/2019;09:04:00;ENCRUZILHADA;AV NORTE;1861;EM FRENTE AO BANCO SANTANDER;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/01/2019;09:08:00;CASA FORTE;AV DEZESSETE DE AGOSTO;1176;E/F AO RESIDENCIAL JARDIM CARIOCA;COLISÃO TRASEIRA;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/01/2019;09:29:00;ESPINHEIRO;RUA DO ESPINHEIRO;602;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/01/2019;09:30:00;SANTANA;RUA AMARAJI;976;PROX. A ESCOLA RAIZES;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/01/2019;09:36:00;POÇO DA PANELA;AV DEZESSETE DE AGOSTO;2133;;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/01/2019;09:40:00;AFOGADOS;RUA NICOLAU PEREIRA;;;COLISÃO TRASEIRA;SEM VITIMAS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/01/2019;10:45:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;AO LADO DA CAIXA ECONOMICA;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO;1;;;;;1;;;;0;
COLISÃO;CANCELADA;03/01/2019;10:55:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;3231;EM FRENTE AO BANCO BRADESCO;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/01/2019;11:01:00;SANTO ANTÔNIO;AV DANTAS BARRETO;;EM BAIXO  DO SEMAFORO  015;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE AUTO E ÔNIBUS.;1;;;;;1;;;;1;
COLISÃO;FINALIZADA;03/01/2019;11:42:00;SÃO JOSÉ;AV SUL;;EMBAIXO DO VIADUTO DAS CINCO PONTAS;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;03/01/2019;12:57:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;3197;APÓS AO CARREFOUR. EM FRENTE AO BANCO SAFRA.;COLISÃO;COLISÃO COM VITIMA;1;1;;;;;;;;1;
COLISÃO;CANCELADA;03/01/2019;13:29:00;DERBY;RUA SAO SALVADOR;24;E/F A  UNIMED RECIFE;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/01/2019;14:28:00;BOA VISTA;RUA JOSE DE ALENCAR;646;CASA DE APOIO DA PREFEITURA DE TORITAMA;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/01/2019;15:54:00;IMBIRIBEIRA;RUA ITAJAI;301;RUA AO LADO DO BANCO ITAU;ABALROAMENTO TRANSVERSAL;AUTO E MOTO C/V;1;1;;;;;;;;2;
COLISÃO COM CICLISTA;FINALIZADA;03/01/2019;15:59:00;CORDEIRO;RUA GOMES TABORDA;1826;E/F AO COLEGIO GERAÇÃO  ATIVA;COLISÃO COM CICLISTA;COLISAO ENTRE AUTO E CICLISTA;1;;;1;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/01/2019;16:04:00;BOA VIAGEM;AV BOA VIAGEM;6592;;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;03/01/2019;16:07:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;4386;E/F AO ESTACIONAMENTO DO CERPE S/T BOA VIAGEM PISTA LOCAL;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/01/2019;16:20:00;PINA;RUA MANOEL DE BRITO;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/01/2019;17:29:00;PINA;TUNEL MANOEL DE BRITO;;DENTRO DO TUNEL;COLISÃO;COLISÃO COM VÍTIMA;;2;;;;;;;;1;
CHOQUE VEÍCULO PARADO;FINALIZADA;03/01/2019;20:37:00;CORDEIRO;RUA TEOTONIO FREIRE;124;EM FRENTE A BARNEY BURG;CHOQUE VEÍCULO PARADO;ENTRE ÔNIBUS E AUTO PASSEIO. S/V;1;;;;;1;;;;0;
ATROPELAMENTO;FINALIZADA;04/01/2019;07:58:00;TOTÓ;RUA ONZE DE AGOSTO;283;EM  FRENTE  A LOJA  GE  BIKE;ATROPELAMENTO;VITIMA  A ESPERA  DO SAMU;;1;;;1;;;;;1;
COLISÃO;CANCELADA;04/01/2019;08:03:00;JARDIM SÃO PAULO;AV RECIFE;;200 METROS APÓS O MOTEL LAS BRISAS ,NO SENTIDO BOA VIAGEM;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/01/2019;10:42:00;TAMARINEIRA;RUA SOARES MORENO;;EM FRENTE AO Nº 58;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;04/01/2019;11:27:00;AFOGADOS;RUA VINTE E UM DE ABRIL;1578;RUA DA CRECHE DA MANGUEIRA;COLISÃO;MOTO E AUTO;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/01/2019;12:07:00;AFOGADOS;RUA QUITERIO INACIO DE MELLO;232;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;1;0;
COLISÃO;CANCELADA;04/01/2019;12:09:00;SANTO ANTÔNIO;AV N S DO CARMO;;AO LADO DO FORUM;COLISÃO;AUTO E ONIBUS S/V;1;;;;;1;;;;0;
COLISÃO FRONTAL;FINALIZADA;04/01/2019;12:30:00;AFOGADOS;RUA MANOEL FERNANDES DE ALBUQUERQUE;53;PROX AO BONDE DO NÓ NA ENTRADA DA MANGUEIRA;COLISÃO FRONTAL;COLISAO ENTRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/01/2019;12:51:00;PARNAMIRIM;AV PARNAMIRIM;31;EM FRENTE A PRAÇA DE LULA CABRAL DE MELO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;04/01/2019;14:07:00;GRAÇAS;AV RUI BARBOSA;896;EM FRENTE A GALERIA TOP CENTER GRAÇAS;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/01/2019;15:49:00;BOA VISTA;AV GOVERNADOR AGAMENON MAGALHAES;;;ABALROAMENTO LONGITUDINAL;COLISAO ENVOLVENDO DOIS AUTOS SEM VITIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;04/01/2019;15:56:00;ALTO DO MANDU;RUA MANDACARU;472;NA SUBIDA DO ALTO DO MANDU;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/01/2019;16:00:00;BOA VIAGEM;RUA TENENTE JOAO CICERO;;;ABALROAMENTO TRANSVERSAL;AUTO E MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/01/2019;16:02:00;BOA VISTA;RUA SETE DE SETEMBRO;202;AO LADO DO Nº 202;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;04/01/2019;17:37:00;MADALENA;AV BEIRA RIO;26;;CHOQUE OBJETO FIXO;POSTE;1;;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;04/01/2019;17:49:00;CABANGA;RUA BITURI;233;;CHOQUE VEÍCULO PARADO;ENTRE AUTO E CAMINHÃO. S/V;1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/01/2019;17:52:00;VÁRZEA;AV AFONSO OLINDENSE;895;;ABALROAMENTO TRANSVERSAL;ENTRE AUTO E MOTO.;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/01/2019;18:41:00;SANTO ANTÔNIO;AV DANTAS BARRETO;;ENF AO INSS;ABALROAMENTO TRANSVERSAL;ONIBIUS CAXANGA X MOTO DA POLICIA;;1;;;;1;;;;1;
COLISÃO TRASEIRA;FINALIZADA;04/01/2019;18:49:00;AFLITOS;AV CONS ROSA E SILVA;;PRÓXIMO AO BANCO ITAÚ;COLISÃO TRASEIRA;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/01/2019;19:53:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;1815;E/F A HONDA, SNT AEROPORTO / PRÓX AO POSTO BR;COLISÃO TRASEIRA;ENTRE 3 AUTOS PASSEIO E MOTO. C/V;2;1;;;;;;;;2;
ATROPELAMENTO;FINALIZADA;04/01/2019;22:12:00;AFOGADOS;RUA COSME VIANA;142;APOIS A TUPAN SENTIDO AFOGADOS;ATROPELAMENTO;MOTO X PEDESTRE;;1;;;1;;;;;;1
CHOQUE OBJETO FIXO;FINALIZADA;04/01/2019;23:00:00;TORRE;AV BEIRA RIO;;;CHOQUE OBJETO FIXO;TÁXI CHOCOU CONTRA MURO. S/V;1;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/01/2019;23:17:00;ARRUDA;RUA DO MACHADO;;PROX A IGREJA SANTO ANTONIO  E IGREJA BATISTA DO ARRUDA;ABALROAMENTO TRANSVERSAL;DUAS MOTOS;;2;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;01:06:00;PINA;RUA PEREIRA DA COSTA;550;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE DOIS AUTOS, SEM VÍTIMAS;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;CANCELADA;05/01/2019;04:52:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A TOYOLEX, SENTIDO AEROPORTO;CHOQUE OBJETO FIXO;VEÍCULO CHOCOU-SE CONTRA UM GELO BAIANO, RODOU E FOI PARAR EM CIMA DO CANTEIRO CENTRAL;1;;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;05/01/2019;05:44:00;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;0940 A;PRÓXIMO AO MERCADINHO MENOR PREÇO;CHOQUE VEÍCULO PARADO;COLISÃO ENTRE DOIS AUTOS, SEM VÍTIMAS;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;05/01/2019;06:30:00;MADALENA;RUA REAL DA TORRE;;AO  LADO DO MERCADO DA MADALENA;CHOQUE OBJETO FIXO;COM VITMAS;1;;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;09:23:00;IPSEP;AV RECIFE;;EM FRENTE A LOJA SUL PEÇAS;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;05/01/2019;09:35:00;HIPÓDROMO;RUA MARTINS RIBEIRO;;EM FRENTE AO RESTAURANTE Ô PAPAI;CHOQUE VEÍCULO PARADO;SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;05/01/2019;10:47:00;SÃO JOSÉ;AV MARTINS DE BARROS;387;CRUZAMENTO COM A RUA PRIMEIRO DE MARÇO;COLISÃO TRASEIRA;SEM VÍTIMAS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;10:51:00;BOA VIAGEM;RUA CAPITAO ZUZINHA;;SOB O SEMÁFORO Nº 433;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;05/01/2019;11:00:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A TUPAN;ABALROAMENTO TRANSVERSAL;AUTO E MOTO  VT-08 NO LOCAL GM- DEIVSON;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;05/01/2019;11:00:00;CABANGA;VIADUTO CAPITAO TEMUDO;S/N;SOBRE O VIADUTO/SENTIDO BOA VIAGEM;ABALROAMENTO LONGITUDINAL;ENGAVETAMENTO COM COLISÃO  E UMA VITIMA AGUARDANDO SAMU,CTTU NO LOCAL MOTOS 26,09,08;1;1;;;;;;;;1;
